title,body,date,language,source
Obviously the company has gone…,obviously company gone bankrupt excuse answer clientsbut name truth would like tell everybody using site since 2011 didst single problem made of reservations years saved lot money always cheaper last year one overbooking luckily called hotel informed vacancy one days received refund a dayshope everything resolved positively people concerned,"Date of experience: February 01, 2019",en,Gala Hotel
Just okay and acceptable,okay prefer one go premium hotel options,"Date of experience: May 25, 2022",en,Gala Hotel
Not great customer support,great customer support cant seem get anyone,"Date of experience: September 27, 2021",en,Gala Hotel
It's either a scam or a horribly run…,either scam horribly run business never received confirmation email credit card charged could reach anyone gala hotels find reservation legit,"Date of experience: June 07, 2022",en,Gala Hotel
They cancelled my hotel booking without…,cancelled hotel booking without telling refund account get number emails rejected scam company book massively pocket confirmation voucher gala hotels meant nothing arrived hotel croatia room available read cancellation gala dec of booked paid oct currently trying resolve credit card company,"Date of experience: April 29, 2019",en,Gala Hotel
I got also cheated!!,got also cheated booking receiving confirmation arrival room already cancelled somebody unknown hotels receptionist ask double price makes wonder fraud ongoing since september 2018 nobody seems willing stop business hundreds travellers arrive hotel either got room pay lots money safety competence excellence involved partners left in wonderingthe dupe,"Date of experience: February 06, 2019",en,Gala Hotel
Cheaters,like never ever book galabookingscom turkish cheater company made reservation arrival date actually night kid hotel receptionist told us reservation money received hotel cooperation galabookings nobody responded thousands emails contact may bank a months get money back compensate night family arrive fastens hotel germany never book she booking com air bob,"Date of experience: May 27, 2019",en,Gala Hotel
Total scam,total scam stay awayfar awaybooked room vegas charged immediately cancelled days later december 2018 live received credit response automated replying reached credit card company dispute fraudulent chargetheir website seems gone wellbeyond frustrating,"Date of experience: January 28, 2019",en,Gala Hotel
SCAMMED,booked gala october hotel liverpool booked early going see pink concert aware hotels would get booked quickly contacted hotel direct week request twin beds find confirmation bookinggave id number hotel nothing emailed company twice nothingavoid avoid avoidcurrently speaking bank report frauddont book company,"Date of experience: May 15, 2019",en,Gala Hotel
Paid more then AUD$400 2 months ago for…,paid aud400 a months ago accommodation he galahotelscom rang hotel direct confirm booking recently told current booking name tried log onto galahotelscom website contact could access search engine said website cant located email address provided galahotelscom unanswered wish read reviews booking seems like many agree organisation scam,"Date of experience: February 01, 2019",en,Gala Hotel
Gala Hotels is Fradulent!,booked hotel gala hotels november 2018 upon verifying travel plans found directly hotel reservation cancelled december 2018 without knowledge refund website longer exists response email phone calls hope proper authorities catch put end thieves,"Date of experience: May 19, 2019",en,Gala Hotel
NEVER AGAIN. GALA HOTELS CANCELS BOOKINGS AFTER PAYMENT MADE,arrival hotel were informed gala hotels cancelled bookings pay hotel front desk gala reachable phone mail etc generate standard mail replies using customer care portal credit card provider returned money meantime,"Date of experience: April 17, 2019",en,Gala Hotel
AVOID Gala Hotel.,avoid gala hotel trust gala hotelyour chance booked credit card claim money back said credit card long process requiring paperwork dose patience even refunded credit card compensation trouble incurred way gala hotel promised automatic answers always sending standard text repeatedly answer claim never gudrun away gala hotel,"Date of experience: March 28, 2019",en,Gala Hotel
Scam,scam thieves stole money done usebasically stole money tried cancel reservation stated dated left message customer support line one would answer phone submitted case online cancel received response working nothing happened done prior cancellation date records removed online account cant prove anything credit card company still cant get response galahotels stole 250,"Date of experience: April 05, 2019",en,Gala Hotel
Robbery,arrived destination june find hotel cancelled booked november like everyone else cancelled with december galahotels think of leave people stranded accommodation beyond scrape money pay different place wouldn't even let dog sleep shame galahotels,"Date of experience: June 17, 2019",en,Gala Hotel
Fraudsters!,fraudsters booked night novel suvamarnbhumi bangkok via galahotels website paid mastercard arrived novel a weeks later told reservation cancelled galahotels a days booking credit card charged received refundthis criminal organisation running website notice reservation located istanbul turkey trust,"Date of experience: February 24, 2019",en,Gala Hotel
Gala Hotels are scammers and con artists,gala hotels scammers con artists booked paid room hotel london arrived booking cancelled transpires gala hotels take money book another hotel booking website think reservation valid third party done get payment reservation cancelled done find check time time retrieve payment via credit card long gone would give gala hotels stars could doesn't trust pilot allow,"Date of experience: December 20, 2019",en,Gala Hotel
I booked a room via Gala at a Hampton by Hilton…,booked room hampton hilton via gala hotels website turned huh told cancellation file pay room live complained gala there bombarding confirmation complaint emails 300 last of hours,"Date of experience: February 17, 2019",en,Gala Hotel
Major concern is Visa card security…,main concern visa card security data one star review option zero booked basis gala hotels cancellation policy 100 refund done intima cancelled intima received message advising refund would received within of days a months passed refund sent request via website inundated hundreds notifications case different reference number block gala attempts call us phone number failed sought help bank card supplier prevent gala hotels abusing visa account remember given card security data,"Date of experience: March 13, 2019",en,Gala Hotel
Gala Hotel Booking: NEVER again!!!,december 2018 booked hotel berlin booked apr a year ago everything went this time though money deducted credit card immediately also immediately hotel booking cancelled gala hotels numerous emails get reply except standard sentence case proceeded contacted credit card company write detailed report send screenshots fortunately taken of months later money refunded still apology gala hotels never use recommend booking site unless want lose money,"Date of experience: February 05, 2019",en,Gala Hotel
Booked a one night stay at Hilton Paris…,booked one night stay hilton paris cd card feb 2019 cost of booking made ord dec 2018 payment made booking cancelled of dec 2018 gala without making contact refunding money cursory check hilton night travelled showed trace booking ended book suite directly hilton 150 euros contacted refund awaiting reply hopeful next stop credit card company surprised hotels like hilton allowing associated company,"Date of experience: February 28, 2019",en,Gala Hotel
Gala Hotels - ITS A SCAM,gala hotels scammers booked a nights trip madrid early january 2019 gala hotels took money eth december 2018 sent us email booking confirmation got hotel madrid told us booking cancelled with dec fully booked late night find another hotel pay another 450 gala hotels impossible contact one answers telephone number make online complaint get automatic robot answer silence used tripadvisor make initial booking shocked tripadvisor still facilitating scam gala hotels,"Date of experience: January 27, 2019",en,Gala Hotel
Scam - Avoid!,see people complaining rocking december bookings cancelled exactly problem prior year new years eve booking cancelled took money definitely standard modes operandiof course feedback raising issue website,"Date of experience: February 14, 2020",en,Gala Hotel
Scam,scam never provide credit card number business booked hotel lisbon prepaid full amount company arrival hotel told reservation cancelled travel agent pay stay hotel againgalahotels responded complaint looking never actually said anything cooperate bank raised charge back request credit card company never made steps voluntary return money,"Date of experience: June 01, 2021",en,Gala Hotel
Gala Hotels ARE fraudulent,live also scammed gala hotels take money make booking intermediary hotelbedscom never forward payment hotel beds cancel reservations reported national fraud caber crime reporting centre take reports behalf us police tell person logged complaint company act receive number complaints report logged information please anyone us scammed gala hotels leonardo travel vanilla tours co please report actionfraudpoliceuk,"Date of experience: February 06, 2019",en,Gala Hotel
Still this company is scamming people,still company scamming people years later scammed february 2019 reported action fraud normally good shutting websites time never replied report beyond still happening,"Date of experience: April 22, 2019",en,Gala Hotel
I am speechless to know none of the…,speechless know none phone numbers listed website works contact us form emails need invoice booking made there way get anyone possible put incorrect information website get away dealing anything paper company,"Date of experience: March 14, 2019",en,Gala Hotel
Scammers,like others made reservation paris via gala hotelscom made november 2018 card debited arrived told reservation cancelled december 2018 touch company bargepole scammers,"Date of experience: June 27, 2019",en,Gala Hotel
Amic Gala not same as Gala hotels.com,stayed perfectly good mic gala hotel palma mallorca made mistake booking room gala hotels com came google search seemed reasonable turns galahotelscom completely different company based turkey either useless dishonest sure com took money reached actual hotel they never heard booking reference number print booking confirmation email etc worthless com took money never booked room hotel anything course com website doesn't work neither phone number glad used credit card hoping get refund via,"Date of experience: April 28, 2019",en,Gala Hotel
SCAMMERS,scammers october 2018 purchased three hotel rooms online via galahotelscom website july 2019 quests arrived hotel proof purchase informed reservations hotel contacted gala hotelscom info galahotelscom get response refund,"Date of experience: July 21, 2019",en,Gala Hotel
CHECK YOUR GALA HOTELS BOOKING,booked via galahotelscom may 2018 hotel booking may 2019 even confirmed hotel june 2018 booking find booking cancelled gala december 2018 taken money made refund told cancellation would advise anyone else check booking exists name hope galahotels folk contact reply phone calls emails either us turkish numbers,"Date of experience: May 03, 2019",en,Gala Hotel
DO NOT BOOK!!!,booked hotel room rio las vegas christmas arrived hotel got information galahotel cancelled booking pay high price stay contacting galahotels possible today complaint processed refunded money paid twice room in going file lawsuit company fraud lawyer friendly istanbul fix case,"Date of experience: February 08, 2019",en,Gala Hotel
DO NOT USE >>>> SCAM.......,use scamsame others mid november 2018 booked paid a nights hotel rome reconfirmed directly hotel time advised okay contacted hotel regarding transfers advised gala hotels cancelled booking of december 2018 cannot get onto gala,"Date of experience: April 07, 2019",en,Gala Hotel
Do not book with this company....,book accommodation company booked paid made reservation cancelled without informing shave received refund phone numbers workabsolute scammers,"Date of experience: July 29, 2019",en,Gala Hotel
Galahotels 2019,booked london hotel 2018 march 2019 galahotels confirmation even galahotel protection arrived hotel quickly find another hotel lost 149 apology nothing would thought fraud doesn't seem protection scams like guess company still trading even another name fund reimburse holiday makers unscrupulous companies pocket hard earned money deliver nothing bookish company check future company kind alta protection future try book direct hotel worth trying save pounds scammed,"Date of experience: May 07, 2019",en,Gala Hotel
It's either a scam or a horribly run…,either scam horribly run business never received confirmation email credit card charged could reach anyone gala hotels find reservation legit,"Date of experience: January 28, 2019",en,Gala Hotel
Do not use GalaHotels.com,like many others booked paid room non existing arrived hotel havana cuba case eventually got refund couple months later reading reviews understand galahotels nothing scammers place business,"Date of experience: July 31, 2019",en,Gala Hotel
Scam,scam never provide credit card number business booked hotel lisbon prepaid full amount company arrival hotel told reservation cancelled travel agent pay stay hotel againgalahotels responded complaint looking never actually said anything cooperate bank raised charge back request credit card company never made steps voluntary return money,"Date of experience: April 04, 2019",en,Gala Hotel
Gala Hotels trapped us,sadly gala hotels us booked hotel vienna whole family course paid normally heard gala hotel contacted hotel replied seeing reservation system cancelled question made cancellation give information necessarily rebooted hotel expensive time hotels official website contacted bank refund money nervous theban recommend reliable websites make future bookings please,"Date of experience: February 15, 2019",en,Gala Hotel
The price seems too good to be true because it is....this is a fraud company!,complete fraud similar people stated made reservation showed hotel informed gala hotels cancelled reservation weeks reservation made others refund money tried contacting customer service without satisfaction would recommend booking anyone reason prices beat everyone else real company actually making bookings,"Date of experience: February 13, 2019",en,Gala Hotel
Scam do NOT book through these Theives,scam book thieves booked hotel venice september last week confirmed hotel dec make sure reservation of reading bad reviews hotel confirmed well turned hotel sunday told reservation cancelled gala hotels tried customer services us italy numbers longer work contact credit card company tomorrow hold little hope transaction long ago please book company,"Date of experience: April 14, 2019",en,Gala Hotel
Scammers,booked hotel gala hotels arrived hotel find booking cancelled course credit card never reimbursed hotel supervisor told us happened often customers booked gala done answer emails scammers stay clear booking agency,"Date of experience: July 03, 2019",en,Gala Hotel
Booked 3 nights through Gala Hotel at a…,booked a nights gala hotel novel london sent confirmation voucher took payment got hotel receptionist said never received reservation pay hotel directly secure stay tried call galahotel a landlines dead novel said first time clients tried book platform hotel never received bookings money head office complained tried stop advertising hotels carry illegally process disputing payment credit card issuer,"Date of experience: January 25, 2019",en,Gala Hotel
What a scam,scam confirmed booking money taken account wrote galahotels getting automatic acknowledgement every give minutes past two days deleted hundred emails far nothing solved involve bank robbers,"Date of experience: January 24, 2019",en,Gala Hotel
Galahotels.com is a fraud,fraud pattern fraud operation works like a reserve charge card never send payment hotel a arrive hotel reservation pay hotel directly may assume galahotelscom never charged often times charge wont occur check a forget check credit card transactions actually paid twice hotel stay a even discover duplicate charge file dispute galahotels admit refuse refund delay dispute process pain done understand business,"Date of experience: February 25, 2019",en,Gala Hotel
FRAUDSTERS,fraud investigator of years never thought would victim scam gala hotels managed booked hotel back november 2018 thailand one night near airport last night flying home got told booking cancelled with december online account gala showed still booked sent message said looking matters book another room nearly of cant phone nothing back report action fraud clearly chance getting money back use fraudsters,"Date of experience: February 22, 2019",en,Gala Hotel
This website is a shame,never trust galahotels website shame cancelled two bookings far deadline never refunded yet sole booking kept finally cancelled without prior notification still waiting money back people absolute fraudsters beware,"Date of experience: February 21, 2019",en,Gala Hotel
