title,body,date
Booking Hazlitt’s was really easy and…,Booking Hazlitt’s was really easy and with cancellation and pay later options - it’s perfect for a business trip to the city!,"Date of experience: December 26, 2024"
I made an error on my booking,"I made an error on my booking so I wanted to amend the check in date. The customer service agreed with it. After god knows how many phone calls and emails I received the approval for the change. Then on the day of the travel I got an email, that unfortunately HotelsOne does not have the capability to amend the dates on their end. I had to book with a different hotel.","Date of experience: December 26, 2024"
Good booking experience,"The website was easy to use and had most of the information I was looking for. When comparing different hotels, this one stood out partly because of I had a better idea of exactly what was being offered.","Date of experience: December 19, 2024"
Good clear information,The website was clear and informative. Booking was easy too,"Date of experience: December 26, 2024"
Almare Motel booking.,"We checked most accommodation in Ballina but they were either booked out or over our budget.Almare Motel came out on top as they offered free cancellation (up to 2days) before chosen date.Their rate was also very reasonable.And the on-line booking process was a breeze, especially for two Old Fartz.","Date of experience: December 04, 2024"
Your website was easy to navigate and…,"Your website was easy to navigate and to clearly see the booking, and then to finalize","Date of experience: December 20, 2024"
The procedure is simple.,The information about the hotel is very detailed and clear.,"Date of experience: December 23, 2024"
I've stayed at Brentwood several times…,I've stayed at Brentwood several times and see no reason to change. Very easy to book a room!,"Date of experience: December 09, 2024"
Very easy to navigate and understand the,"Very easy to navigate and the sight is beautiful,  Can't wait to visit and see the renovations","Date of experience: December 17, 2024"
Quiet and Holiday Decorated at…,"Quiet and Holiday Decorated at Christmas for visiting  overnight in the Area. Lake is frozen and snowy!  Restaurant is very Lovely, Good Food, and Convenient!","Date of experience: December 24, 2023"
Website very easy to use,Website very easy to use. All fields clear as to what information was needed. The green check marks gave confidence things were filles out correctly,"Date of experience: December 08, 2024"
"bemidji, mn",This is my first time of my experience with this hotel.  However. the ease I was able to book I was able to confirm my registration.  A-1.,"Date of experience: December 15, 2024"
It was fine except for the feeling of…,It was fine except for the feeling of being rushed! I don’t like the pop-ups warning me other people are booking…not classy.,"Date of experience: December 14, 2024"
Booking was quick and easy with very…,Booking was quick and easy with very clear instructions. Have stayed here before and love it!,"Date of experience: December 17, 2024"
Very user friendly website.,Very user friendly website. This is a quick trip both for personal business and seeing family. Great location for me.,"Date of experience: December 08, 2024"
I did not like the fact that I was…,"I did not like the fact that I was shown a price for the hotel room, but as I finalised the booking an extra £47ish was added on as taxes.","Date of experience: December 19, 2024"
Difficult to use and get answers,"I was able on my first attempt to enter a promo code for a discounted rate, but the site never let me to proceed to payment.  My third attempt was successful, but never gave me the option to enter the promo code, so my room was substantially more expensive than originally quoted.","Date of experience: December 15, 2024"
Easy to use site,Easy to book but until I stay at the property I’ve booked I can’t be sure it has all worked well.,"Date of experience: December 13, 2024"
Simple and Straightforward,A very simple booking process!,"Date of experience: December 24, 2024"
Very user friendly and easy to…,Very user friendly and easy to navigate.  Was running short on time and was pleasantly surprised at how quick the booking process was.,"Date of experience: December 06, 2024"
Straight forward and to the point!,Straight forward and to the point!Booking a room was straight forward and to the point. No mystery fields or asking for things that shouldn't be required. Just the basics and it was booked within 60 seconds!,"Date of experience: December 04, 2024"
Very user-friendly!,Very user-friendly!,"Date of experience: December 26, 2024"
HotelsOne some how gave the appearance of booking directly with my hotel.,Let me start by saying I'm a fairly tech-savy person.I went directly to the hotel website that I intended to stay at and some how my reservation ended up on HotelsOne.  The site appeared to be the hotel site and not HotelsOne.  When I arrived at the hotel they identified the reservation came through a third party.  That's when the trouble started.  The room I reserved and paid for is not the room that was available.  The room I was charged for by HotelsOne was actually much more expensive.,"Date of experience: December 04, 2024"
Unable to issue an official receipt,"Stayed over at a hotel booked through HotelsOne on business. Requested a copy of a receipt from HotelsOne about 5 times over a 2 to 3 weeks period, then told that they cannot issue an official receipt, only an email confirming I paid for the hotel, with no details on it. If you need a receipt, do not use them, there are plenty of other companies who understand this request.","Date of experience: November 12, 2024"
Easy to use and book,"Easy to use and book. Informative and hassle-free. It'd be nice to have the photos get big though – at this point, users are accustomed to seeing large photos","Date of experience: December 04, 2024"
LOVE,"LOVE! LOVE! LOVE! This sweet retreat is an exceptional experience &  I have enjoyed meeting others who are open to it's informal, meditative ambiance.","Date of experience: July 11, 2024"
Easy to navigate and find a room we…,Easy to navigate and find a room we preferred with upfront pricing,"Date of experience: December 14, 2024"
Easy to book very well explained even I…,Easy to book very well explained even I managed it without wife’s input 😂,"Date of experience: December 13, 2024"
This was very user friendly,This was very user friendly. I'm not usually good at booking my rooms. Perfect experience!,"Date of experience: December 03, 2024"
Great service,Great service,"Date of experience: December 23, 2024"
Quick select accommodation,Easier direct to motel booking simple no fuss,"Date of experience: December 19, 2024"
surprisingly good rate,surprisingly good rate. better than with hotel direct.,"Date of experience: December 13, 2024"
So far it’s great!,"So far, so good. It’s a family gathering with my niece’s wedding!","Date of experience: December 14, 2024"
wish it worked on my cellular... had to pull out the laptop!,"We went to book from our cell phone,  the prices were better. The total was 116.48 for a king-size bed tower bedroom but when we tried to book it the ""I'm not a robot Recaptcha "" kept spinning for 5 minutes. here on the computer the price was about $20 more for the same room so we went with the queen size to get the same rate we planned to get. and it is still spinning on the phone as I finish writing this review - stuck on stupid. Please tell me this isn't an indication of how her birthday getaway is going to be.","Date of experience: December 09, 2024"
Repeat traveller,easy to use and great discounted and no fee cancellations without middleman!,"Date of experience: December 11, 2024"
I found very easy to book I am 70 yrs…,I found very easy to book I am 70 yrs old and usually find technology a challenge.,"Date of experience: December 11, 2024"
Didn’t see pictures of views,"Didn’t see pictures of views.  It doesn’t matter, but knowing we have not chosen ocean view, we would like to see whatever views we do have.","Date of experience: December 10, 2024"
I love it,"I’m not a computer person, but it was so easy. I love it. I’ve been going to your hotel for the past 35 years. I love it.","Date of experience: September 12, 2024"
No customer service available,"There is no way to get in touch with customer service.Website wont let you send feedback because there is no option to check ""i'm not a robot"" on the effort to send an email.  I've been on hold waiting for a customer service person for over 1 hour.  Don't book through this company.  The hotels will give you the worst room available.","Date of experience: December 03, 2024"
Beware of so-called discounts,"Beware of so-called discounts. I booked a room with what was supposed to be a 10% mobile exclusive discount, only to find out via the acknowledgment email that I had actually been charged even more than the pre-discount price!As payment would not be taken until I arrived at the hotel, I contacted the hotel to confirm the price they were going to charge me. Again, it was not the discounted price. I was told that as I had booked through a third party, I had to take this issue up with them.I phoned HotelsOne customer support, and they did answer very quickly, but after a lengthy conversation I got absolutely nowhere. They tried various excuses such as having to take this up with the hotel, that taxes could have caused the difference, etc. Basically, a load of rubbish!As I was able to cancel without penalty I did so, and was able to book the same room direct with the hotel at the exact same price that HotelsOne had charged me after failing to apply the discount.","Date of experience: December 10, 2024"
User friendly,"User friendly, quick, convenient.","Date of experience: December 20, 2024"
All went well and was straightforward,No body text,"Date of experience: December 20, 2024"
Website is easy to use.,Website is easy to use.Hotel info is ok but doesn't make it clear what facilities you can use with a room booking. e.g. can you use the pool/spa or is there a charge,"Date of experience: December 09, 2024"
Easy Easy,"Booking a room is so very easy on your website. Thank you for that, coming from a 77 year old lady!","Date of experience: December 11, 2024"
Easy to book with clear options for…,"Easy to book, with clear options for rooms available, and priced competitively.","Date of experience: December 03, 2024"
Good list of amenities and services…,Good list of amenities and services provided...easy booking.,"Date of experience: December 08, 2024"
It is a scam,It is a scam!  DO NOT BOOK.  They charge you more than going direct with the hotel with worse terms (non-cancellable).,"Date of experience: November 11, 2024"
Cinvenient but Would like Online Protection,"I liked how it was convenient for me to find the type of room I'm looking for. I didn't like how I was unable to pay by using Paypal or by over the phone, to protect my account from online fraud.","Date of experience: December 06, 2024"
Good service,No body text,"Date of experience: December 23, 2024"
I booked and canceled a hotel and then…,I booked and canceled a hotel and then booked another hotel with no issue.,"Date of experience: December 06, 2024"
Easy and simple  to fill in,Easy and simple  to fill inExcellent service,"Date of experience: December 14, 2024"
Simple to use,"Simple to use, a. Ig plus was the 20 percent discount.   We will book this way every time we go to Las Vegas.","Date of experience: December 10, 2024"
This is the best hotel EVER!,This is my annual place to visit for NYE!  The view of the city is matchless! The service makes me feel like a queen!,"Date of experience: December 04, 2024"
Quick and easy,Quick and easy. Same price as if I went through a comparison site.,"Date of experience: December 13, 2024"
Very easy booking,No body text,"Date of experience: December 23, 2024"
Easy to check availability,"Easy to check availability, great photos and details","Date of experience: December 16, 2024"
Great place to call home,I've stayed at the miles in the past and have always been very happy with my time there.,"Date of experience: December 11, 2024"
Process was quick straight forward and…,Process was quick straight forward and easy to use.,"Date of experience: December 15, 2024"
Room rates had 3 different rates,Did not see that the room rates had 3 different prices for the duration of the stay. I guess I only focussed on the total,"Date of experience: December 15, 2024"
I’m not sure,I’m not sure! I made my reservation and it was easy.,"Date of experience: December 17, 2024"
Simple booking process,Simple booking process for this lovely hotel,"Date of experience: December 14, 2024"
Easy booking,No body text,"Date of experience: December 21, 2024"
