title,body,date
Obviously the company has gone…,"Obviously the company has gone bankrupt, which is not an excuse at all not to answer their clients.But in the name of truth I would like to tell everybody that I have been using this site since 2011 and didn't have a single problem, and I have made more than 40 reservations during these years and saved a lot of money, as it was always cheaper with them. Only last year there was one overbooking and luckily I called at the hotel and they informed me that there is no vacancy for one of the days, but I received a refund in 3 days.Hope that everything will be resolved positively for all the people concerned!","Date of experience: February 01, 2019"
Good but pricey.,No body text,"Date of experience: October 31, 2022"
Just okay and acceptable,"Just okay, i prefer one should go with some premium hotel options then this","Date of experience: May 25, 2022"
Not great customer support,Not great customer support.  Can't seem to get through to anyone,"Date of experience: September 27, 2021"
V good,V good serving,"Date of experience: February 24, 2020"
It's either a scam or a horribly run…,It's either a scam or a horribly run business. I never received a confirmation email but my credit card was charged. I could not reach anyone at Gala Hotels to find out if my reservation was legit or not.,"Date of experience: June 07, 2022"
They cancelled my hotel booking without…,"They cancelled my hotel booking without telling me, no refund on my account, can get through on their number, emails are rejected, scam company, do not book with them, I am massively out of pocket. Confirmation voucher from gala hotels meant nothing, as  when I arrived at my hotel in Croatia, not room available. They read cancellation from gala in dec 18, I booked and paid in Oct. currently trying to resolve with credit card company.","Date of experience: April 29, 2019"
I got also cheated!!,"I got also cheated by booking, receiving a confirmation and on arrival the room was already cancelled by somebody unknown? The Hotel's receptionist ask for double the price. What makes me wonder is that this fraud is ongoing since September 2018. Nobody seems willing to stop that business. Hundreds of travelers arrive at hotel and either got no room or have to pay lots of money? Where is the safety, competence and excellence of all the involved partners left? I'm just wondering?The Dupe","Date of experience: February 06, 2019"
Cheaters,"Like NEVER EVER book through galabookings.com, it is Turkish cheater company. We made reservation, at the arrival date (actually night with the kid) hotel receptionist told us we do not have reservation, no money was received and hotel did not have any cooperation with galabookings. Nobody responded on my thousands of emails while I did not contact may Bank. After 6 months I get my money back, but it does not compansate that night when my family arrive at the Kastens hotel in Germany. Never book through this shi*, only booking. Com or air bnb","Date of experience: May 27, 2019"
Total scam,"Total scam, stay away....far away.Booked a room in Vegas, was charged immediately, cancelled a few days later (December 2018). I've received no credit and no response (other than the automated reply).I've now reached out to my credit card company to dispute this fraudulent charge.Their website seems to be gone as well.Beyond frustrating.","Date of experience: January 28, 2019"
SCAMMED,Booked with Gala in October for hotel in Liverpool - Booked early as we are going to see PINK in concert so aware hotels would get booked quickly.I contacted hotel direct this week to request twin beds to find no confirmation of booking.Gave the ID number to the hotel - they had nothing. Emailed company twice - NOTHING.AVOID AVOID AVOIDCurrently speaking with bank to report fraud!!!!DONT BOOK WITH THIS COMPANY,"Date of experience: May 15, 2019"
Paid more then AUD$400 2 months ago for…,Paid more then AUD$400 2 months ago for accommodation in HK through Galahotels.com. I rang the hotel direct to confirm my booking recently only to be told there was no current booking under my name. I tried to log onto Galahotels.com website to contact them but I could not access it. The search engine said the website can't be located. Email to the address provided by Galahotels.com was unanswered. I wish I read more reviews before booking through them. Seems like many agree that the organisation is a scam.,"Date of experience: February 01, 2019"
Gala Hotels is Fradulent!,"I booked a hotel with Gala Hotels in November 2018. Upon verifying all my travel plans I found out directly from the hotel that my reservation was cancelled in December 2018 without my knowledge or a refund. There website, no longer exists and their is no response to email or phone calls. I hope the proper authorities catch and put an end to these thieves.","Date of experience: May 19, 2019"
NEVER AGAIN. GALA HOTELS CANCELS BOOKINGS AFTER PAYMENT MADE,"On arrival at the hotel we've been informed that Gala Hotels has canceled our bookings and so we had to pay again at the hotel front desk. Gala was not reachable (phone, mail etc). They just generate standard mail replies when using the customer care portal. Our credit card provider has returned the money in the meantime.","Date of experience: April 17, 2019"
AVOID Gala Hotel.,"AVOID Gala Hotel.Do NOT trust Gala Hotel.Your only chance, if you booked by credit card, if to claim your money back through said credit card.  But it is a long process, requiring some paperwork and a dose of patience. Even if you are refunded by your credit card, there is no compensation for the trouble incurred.By the way, Gala Hotel itself promised (by automatic answers, always sending the same standard text) repeatedly to answer my claim, but never did.RUN AWAY from Gala Hotel.","Date of experience: March 28, 2019"
Very good!!!,No body text,"Date of experience: January 24, 2019"
Scam,"Scam - Thieves - Stole money from me.  Don't use.Basically stole money from me.  I tried to cancel reservation before stated dated.  Left message on customer support line as no one would answer phone.  Submitted case online to cancel.  Received response that they were working on it, but nothing happened.  All of these was done prior to cancellation date.  All of the records have been removed from my online account so can't prove anything with credit card company.  Still can't get a response from GalaHotels.  Stole $250 from me.","Date of experience: April 05, 2019"
Robbery,Arrived at our destination in June to find out Hotel was cancelled.. booked this in November and like everyone else cancelled on 18th December by galahotels!! How they think it was ok to leave people stranded with no accommodation is beyond me. We had to scrape money up to pay for a different place which I wouldn’t even let my dog sleep in.. shame on you galahotels!!,"Date of experience: June 17, 2019"
Fraudsters!,"Fraudsters!I booked a night at the Novotel Suvamarnbhumi Bangkok via the Galahotels website. This was paid for on my mastercard.I arrived at the Novotel 6 weeks later and told that my reservation was cancelled by galahotels only 2 days after my booking.My credit card was charged and I received no refund!This is a criminal organisation running this website. I notice on my reservation they are located in Istanbul, Turkey.DO NOT TRUST!!!!!!!","Date of experience: February 24, 2019"
Gala Hotels are scammers and con artists,"Gala Hotels are scammers and con artists. I booked and paid for a room in a hotel in London and when we arrived, the booking had been cancelled. It transpires that Gala Hotels take your money and book with another hotel booking website so you think the reservation is valid. The third party don't get any payment so the reservation is cancelled. You don't find out until you check in and by that time, the time to retrieve any payment via your credit card is long gone.I would give Gala Hotels no stars if I could. Why doesn't Trust Pilot allow this?","Date of experience: December 20, 2019"
I booked a room via Gala at a Hampton by Hilton…,I booked a room at a Hampton by Hilton via the Gala Hotels website but when I turned up HbH told me they had a cancellation on file so I had to pay again for the same room! I've complained to Gala but now they're bombarding me with 'Confirmation of your complaint' emails - over 300 in the last 48 hours!,"Date of experience: February 17, 2019"
Major concern is Visa card security…,"My main concern is for Visa card security data. One star review as no option for ZERO. I booked on the basis of Gala Hotels cancellation policy of 100% refund if done in-time. I cancelled in-time and received a message advising that the refund would be received within 21 days. More than 3 months passed; no refund. I sent a request via the website and was inundated with hundreds of notifications of my Case; each with a different reference number. I had to block Gala. Attempts to call their UK phone number failed. Now I have sought help from my bank and card supplier to prevent Gala Hotels from further abusing my Visa account. Remember, we have given them our card security data!!!","Date of experience: March 13, 2019"
Gala Hotel Booking: NEVER again!!!,"In December 2018 I booked a hotel in Berlin, which I had booked appr. 1 year ago and where everything went ok.This time though, the money was deducted from my credit card immediately and also immediately the hotel booking was cancelled by Gala hotels. Numerous emails did not get any reply - except the standard sentence, that my case was being proceeded!I contacted my credit card company, had to write a detailed report and send all the screenshots I (fortunately) had taken and 1,5 months later the money was refunded. Still no apology by Gala hotels, so I will NEVER use them again and do NOT recommend this booking site at all (unless you want to lose money!)","Date of experience: February 05, 2019"
Booked a one night stay at Hilton Paris…,Booked a one night stay at Hilton Paris CDG for the 23rd Feb 2019 cost £93. Booking was made on 3rd Dec 2018 and payment made and booking was cancelled on 22 dec 2018 by Gala without making contact or refunding money. A cursory check with Hilton the night before I travelled showed that they had no trace of my booking and I ended up having to book a suite directly with Hilton  for 150 euros . I have now contacted them for a refund and awaiting a reply but not hopeful. Next stop credit card company.So surprised hotels like Hilton are allowing themselves to be associated with this company.,"Date of experience: February 28, 2019"
